% Model,Dz11_comsol.mph
% Version,COMSOL 5.2.1.262
% Date,"May 5 2018, 09:18"
% Dimension,2
% Nodes,557
% Expressions,2
% Description,Arrow line
% x,y,VectorX,VectorY
-7,-7.499999999999999,1.300928085720671E-7,1.1109636943729129E-7
-7.000000000000001,-7.300000000000001,4.4916109054327075E-7,-0.0017602213648439226
-7.000000000000001,-7.1000000000000005,3.2086310053358597E-7,-0.003512622027947592
-7.000000000000001,-6.9,2.685509716826573E-7,-0.00524925769544498
-7.000000000000001,-6.7,2.5220706323381137E-7,-0.006962201400713402
-7.000000000000001,-6.5,2.6080565618258333E-7,-0.00864333945251295
-7,-6.299999999999999,2.699827890140227E-7,-0.010284423349792071
-7.000000000000001,-6.1,2.8772837001866947E-7,-0.01187701811339129
-7.000000000000001,-5.9,3.073430709932268E-7,-0.01341248731719038
-7,-5.699999999999999,3.248626461171966E-7,-0.01488198153628651
-7.000000000000001,-5.5,3.395991008403598E-7,-0.01627644265525475
-7.000000000000001,-5.3,3.4958302208565323E-7,-0.017586617394848316
-7,-5.1,3.549754996612364E-7,-0.01880308791019827
-7.000000000000001,-4.899999999999999,3.5625932959248985E-7,-0.019916318162283342
-7.000000000000002,-4.699999999999998,3.535206136717761E-7,-0.020916717373519647
-7.000000000000002,-4.499999999999998,3.4658900549544564E-7,-0.021794722362366167
-7.000000000000001,-4.299999999999998,3.3480747774206066E-7,-0.022540898973835745
-7.000000000000001,-4.099999999999997,3.1748809004028544E-7,-0.02314606309070555
-7.000000000000001,-3.8999999999999972,2.940026000430862E-7,-0.023601420560184886
-7.000000000000002,-3.6999999999999975,2.6381416429188675E-7,-0.023898724908472165
-7.000000000000001,-3.4999999999999964,2.265141194612852E-7,-0.024030450823043115
-7,-3.299999999999996,1.8185840477968893E-7,-0.023989980458468233
-7.000000000000001,-3.099999999999996,1.298058798226975E-7,-0.023771798621290963
-7.000000000000002,-2.899999999999996,7.055190831550817E-8,-0.02337169188365102
-7.000000000000001,-2.6999999999999953,4.558571298218794E-9,-0.022786945701708246
-7,-2.4999999999999947,-6.742622549182897E-8,-0.02201653275955417
-7.000000000000001,-2.2999999999999945,-1.4435700368409243E-7,-0.02106128506498476
-7.000000000000001,-2.0999999999999948,-2.2489548356929842E-7,-0.019924041911685033
-7,-1.899999999999995,-3.074307484141059E-7,-0.018609765731238244
-7,-1.6999999999999944,-3.901158338592836E-7,-0.01712561818205849
-7,-1.4999999999999942,-4.709222949372815E-7,-0.015480989578001925
-7.000000000000001,-1.2999999999999945,-5.477107363205391E-7,-0.013687475999965129
-7.000000000000002,-1.0999999999999939,-6.183143606008912E-7,-0.011758800115026856
-7.000000000000001,-0.8999999999999928,-6.806317003338336E-7,-0.009710673807187818
-7.000000000000002,-0.6999999999999931,-7.32724672936058E-7,-0.007560603127321171
-7.000000000000002,-0.4999999999999929,-7.729113908894192E-7,-0.005327638619100168
-7.000000000000002,-0.2999999999999927,-7.998535052067267E-7,-0.0030320766963337254
-7,-0.09999999999999165,-8.126263315588743E-7,-6.951201669476855E-4
-7.000000000000001,0.10000000000000853,-8.107695723680308E-7,0.0016614918567710829
-7.000000000000002,0.3000000000000078,-7.943133768506526E-7,0.004015872790377573
-7.000000000000001,0.5000000000000089,-7.637781820335476E-7,0.006346383233012202
-7,0.70000000000001,-7.201494023334476E-7,0.008632018171877795
-7.000000000000001,0.9000000000000092,-6.648251975605034E-7,0.010852773822999505
-7.000000000000002,1.1000000000000094,-5.995461966890047E-7,0.01298998224011271
-7.000000000000001,1.3000000000000105,-5.263091855667312E-7,0.015026603473063515
-7.000000000000001,1.5000000000000115,-4.472726669035864E-7,0.016947467186832835
-7.000000000000001,1.7000000000000126,-3.646587147798641E-7,0.018739458108406094
-7.000000000000001,1.9000000000000137,-2.8065964130519205E-7,0.02039164227378518
-7.000000000000001,2.1000000000000156,-1.9735343848026332E-7,0.021895333629922614
-7.000000000000001,2.3000000000000167,-1.1663243526527366E-7,0.023244102961802907
-7.000000000000001,2.5000000000000178,-4.014773757887724E-8,0.024433733222085398
-7.000000000000001,2.7000000000000197,3.072885856880703E-8,0.02546212705111257
-7.000000000000001,2.900000000000021,9.49254896909224E-8,0.026329173534351775
-7.000000000000001,3.1000000000000214,1.5167507338986752E-7,0.02703658204012995
-7.000000000000002,3.3000000000000234,2.0050605176180622E-7,0.02758769131317201
-7.000000000000002,3.5000000000000244,2.4122138508886337E-7,0.027987261939754992
-7,3.7000000000000255,2.738687205905421E-7,0.028241259872702505
-7,3.9000000000000274,2.987056682002276E-7,0.02835663803491073
-7,4.100000000000028,3.161611479285398E-7,0.028341122126382956
-7.000000000000001,4.300000000000029,3.2679634820453884E-7,0.028203005770454734
-7.000000000000001,4.500000000000032,3.312669623056763E-7,0.027950959083403507
-7.000000000000001,4.700000000000033,3.302883930800249E-7,0.027593853719905203
-7.000000000000001,4.900000000000034,3.2460426080405114E-7,0.027140606452838258
-7.000000000000002,5.100000000000035,3.1495963881411626E-7,0.026600042465582133
-7.000000000000002,5.300000000000036,3.020793464258986E-7,0.025980778743572103
-7,5.500000000000037,2.86650044145631E-7,0.025291127296195537
-7.000000000000001,5.700000000000038,2.69308150890879E-7,0.02453901741867874
-7.000000000000001,5.90000000000004,2.506305269989184E-7,0.02373193578463235
-7.000000000000001,6.100000000000041,2.3113002622920928E-7,0.022876882892575983
-7.000000000000001,6.300000000000043,2.112524954966943E-7,0.021980344174265316
-7.000000000000001,6.500000000000044,1.9137825812975962E-7,0.021048274019342134
-7.000000000000001,6.7000000000000455,1.7182461942155666E-7,0.020086090913047378
-7.000000000000001,6.9000000000000465,1.5284871768272978E-7,0.019098681954446105
-7.000000000000002,7.100000000000048,1.346542282121277E-7,0.018090415092446695
-7,7.300000000000049,1.173955173072727E-7,0.017065157556802744
-7.000000000000001,7.5000000000000515,1.0118380444623652E-7,0.016026299086544786
-7.000000000000001,7.700000000000053,8.609420909522214E-8,0.014976778734898083
-7.000000000000001,7.900000000000054,7.217023778594012E-8,0.01391911418078571
-7.000000000000001,8.100000000000055,5.943009906417273E-8,0.012855432641333136
